accuracy,f1,roc_auc,Gender_dp_gap,Gender_eo_gap,Gender_fpr_gap,Gender_equalized_odds_gap,AgeGroup_dp_gap,AgeGroup_eo_gap,AgeGroup_fpr_gap,AgeGroup_equalized_odds_gap,model
0.839,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Majority
0.7483,0.4532,0.7849,0.0692,0.0701,0.08,0.08,0.1634,0.4107,0.0369,0.4107,LR_all_features
0.7392,0.4498,0.7747,0.1411,0.1085,0.1582,0.1582,0.0581,0.375,0.1287,0.375,LR_without_protected
0.8594,0.5156,0.8037,0.0165,0.0051,0.0082,0.0082,0.2656,0.4196,0.1372,0.4196,RandomForest
0.8685,0.383,0.7799,0.0206,0.0966,0.0003,0.0966,0.1005,0.1964,0.0351,0.1964,GradientBoosting
0.7415,0.4466,0.7823,0.0957,0.0701,0.1112,0.1112,0.1343,0.4107,0.0496,0.4107,LR_reweighting_gender
0.7528,0.4577,0.7849,0.0106,0.0701,0.0106,0.0701,0.181,0.4107,0.0644,0.4107,LR_postprocessing_gender_thresholds
