attribute,group,n,attrition_rate,raw_attrition_rate_gap_for_attribute
Gender,Female,588,0.148,0.0221
Gender,Male,882,0.1701,0.0221
AgeGroup,30-40,622,0.1431,0.1699
AgeGroup,40+,522,0.1092,0.1699
AgeGroup,<30,326,0.2791,0.1699
